trace_pair,device_pair,model_idx,flashnet_train_acc,flashnet_val_acc,dt_depth5_train_acc,dt_depth5_val_acc,dt_depth5_fidelity,delta_train_acc,delta_val_acc
alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme0n1...nvme2n1,0,0.7993,0.7949,0.767793,0.767187,0.886112,-0.031507,-0.027713
alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme0n1...nvme2n1,1,0.8838,0.8844,0.848488,0.848539,0.899505,-0.035312,-0.035861
alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme14n1...nvme15n1,0,0.8268,0.8261,,,,,
alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme14n1...nvme15n1,1,0.8979,0.8935,,,,,
alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,0,0.7985,0.799,0.772406,0.773489,0.879871,-0.026094,-0.025511
alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,1,0.8988,0.8976,0.895286,0.894945,0.956111,-0.003514,-0.002655
alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,0,0.8122,0.8105,,,,,
alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,1,0.8814,0.8827,,,,,
alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme0n1...nvme2n1,0,0.793,0.7909,0.770743,0.770986,0.878704,-0.022257,-0.019914
alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme0n1...nvme2n1,1,0.8829,0.8837,0.848748,0.848584,0.893114,-0.034152,-0.035116
alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme14n1...nvme15n1,0,0.8494,0.8474,,,,,
alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme14n1...nvme15n1,1,0.8978,0.8984,,,,,
alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00,nvme0n1...nvme2n1,0,0.8365,0.8363,0.813503,0.813579,0.915709,-0.022997,-0.022721
alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00,nvme0n1...nvme2n1,1,0.869,0.8673,0.836261,0.836084,0.903128,-0.032739,-0.031216
alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00,nvme14n1...nvme15n1,0,0.8368,0.8369,,,,,
alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_4.00,nvme14n1...nvme15n1,1,0.8924,0.8933,,,,,
alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50,nvme0n1...nvme2n1,0,0.826,0.8253,0.810096,0.810744,0.939876,-0.015904,-0.014556
alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50,nvme0n1...nvme2n1,1,0.8738,0.8751,0.836879,0.837874,0.882403,-0.036921,-0.037226
alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50,nvme14n1...nvme15n1,0,0.8272,0.8262,,,,,
alibaba.per_3mins.overall_p25.alibaba_9076.45/tencent.per_3mins.write_p100.2018-10-09-04.12/modified.rerate_0.50...modified.rerate_0.50,nvme14n1...nvme15n1,1,0.8702,0.8694,,,,,
msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,0,0.8828,0.8877,0.885044,0.881142,0.932395,0.002244,-0.006558
msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,1,0.8775,0.8754,0.870505,0.871758,0.954002,-0.006995,-0.003642
msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,0,0.8563,0.8547,,,,,
msr.per_3mins.overall_p50.prxy_0.1490/msr.per_3mins.write_p100.src1_0.3047/modified.rw_ratio_40_60.rerate_8.00.resize_2.00...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,1,0.8904,0.8901,,,,,
