level,algo,drive_id,node_count,internal_node_count,leaf_count,max_depth,stored_array_entries,header_path,status
per_header,dt,dev_0,157669,78834,78835,63,788345,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/dt/training_results/dt_weights_header/w_Trace_dev_0_dt.h,ok
per_header,dt,dev_1,803935,401967,401968,65,4019675,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/dt/training_results/dt_weights_header/w_Trace_dev_1_dt.h,ok
per_header,unknown,dev_0,124335,62167,62168,68,621675,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/dt_weights_header/w_Trace_dev_0_dt.h,ok
per_header,unknown,dev_1,131711,65855,65856,56,658555,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/dt_weights_header/w_Trace_dev_1_dt.h,ok
per_header,hierarchy,dev_0,30477,15238,15239,31,152385,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/hierarchy/training_results/hierarchy_headers/w_Trace_dev_0_dt.h,ok
per_header,hierarchy,dev_1,50793,25396,25397,31,253965,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/hierarchy/training_results/hierarchy_headers/w_Trace_dev_1_dt.h,ok
per_header,surrogate_dt,dev_0,30477,15238,15239,31,152385,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/surrogate_dt/training_results/surrogate_headers/w_Trace_dev_0_dt.h,ok
per_header,surrogate_dt,dev_1,50793,25396,25397,31,253965,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/surrogate_dt/training_results/surrogate_headers/w_Trace_dev_1_dt.h,ok
per_header,dt,dev_0,149587,74793,74794,63,747935,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/dt/training_results/dt_weights_header/w_Trace_dev_0_dt.h,ok
per_header,dt,dev_1,129079,64539,64540,59,645395,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/dt/training_results/dt_weights_header/w_Trace_dev_1_dt.h,ok
per_header,unknown,dev_0,117217,58608,58609,66,586085,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/dt_weights_header/w_Trace_dev_0_dt.h,ok
per_header,unknown,dev_1,56717,28358,28359,58,283585,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/dt_weights_header/w_Trace_dev_1_dt.h,ok
per_header,hierarchy,dev_0,28613,14306,14307,29,143065,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/hierarchy/training_results/hierarchy_headers/w_Trace_dev_0_dt.h,ok
per_header,hierarchy,dev_1,16245,8122,8123,33,81225,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/hierarchy/training_results/hierarchy_headers/w_Trace_dev_1_dt.h,ok
per_header,surrogate_dt,dev_0,28613,14306,14307,29,143065,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/surrogate_dt/training_results/surrogate_headers/w_Trace_dev_0_dt.h,ok
per_header,surrogate_dt,dev_1,16245,8122,8123,33,81225,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/surrogate_dt/training_results/surrogate_headers/w_Trace_dev_1_dt.h,ok
per_header,dt,dev_0,118507,59253,59254,69,592535,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/dt/training_results/dt_weights_header/w_Trace_dev_0_dt.h,ok
per_header,dt,dev_1,543213,271606,271607,65,2716065,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/dt/training_results/dt_weights_header/w_Trace_dev_1_dt.h,ok
per_header,unknown,dev_0,67665,33832,33833,58,338325,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/dt_weights_header/w_Trace_dev_0_dt.h,ok
per_header,unknown,dev_1,110515,55257,55258,60,552575,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/dt_weights_header/w_Trace_dev_1_dt.h,ok
per_header,hierarchy,dev_0,18435,9217,9218,30,92175,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/hierarchy/training_results/hierarchy_headers/w_Trace_dev_0_dt.h,ok
per_header,hierarchy,dev_1,62647,31323,31324,29,313235,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/hierarchy/training_results/hierarchy_headers/w_Trace_dev_1_dt.h,ok
per_header,surrogate_dt,dev_0,18435,9217,9218,30,92175,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/surrogate_dt/training_results/surrogate_headers/w_Trace_dev_0_dt.h,ok
per_header,surrogate_dt,dev_1,62647,31323,31324,29,313235,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/surrogate_dt/training_results/surrogate_headers/w_Trace_dev_1_dt.h,ok
