level,file_path,device_pair,mldrive_id,epochs_detected,final_train_accuracy,final_val_accuracy,train_minus_val,total_params,trainable_params,non_trainable_params,eval_stats_path,status
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,nvme0n1...nvme2n1,mldrive0,5,0.7718,0.7722,-0.0004,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,nvme0n1...nvme2n1,mldrive1,6,0.8707,0.8716,-0.0009,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,nvme14n1...nvme15n1,mldrive0,6,0.8268,0.8261,0.0007,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,nvme14n1...nvme15n1,mldrive1,10,0.8979,0.8935,0.0044,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,nvme0n1...nvme2n1,mldrive0,8,0.7855,0.7838,0.0017,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,nvme0n1...nvme2n1,mldrive1,6,0.8677,0.8628,0.0049,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,nvme14n1...nvme15n1,mldrive0,6,0.8122,0.8105,0.0017,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,nvme14n1...nvme15n1,mldrive1,6,0.8814,0.8827,-0.0013,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,nvme0n1...nvme2n1,mldrive0,11,0.7943,0.8009,-0.0066,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0/nnK/eval.stats,ok
per_file,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,nvme0n1...nvme2n1,mldrive1,7,0.8586,0.8608,-0.0022,3745,3745,0,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1/nnK/eval.stats,ok
