trace_dir,device_pair,model_idx,flashnet_train_accuracy,flashnet_val_accuracy,flashnet_fidelity_accuracy,surrogate_dt_train_accuracy,surrogate_dt_val_accuracy,surrogate_dt_fidelity_accuracy,small_surrogate_dt_train_accuracy,small_surrogate_dt_val_accuracy,small_surrogate_dt_fidelity_accuracy,small_surrogate_dt_depth5_train_accuracy,small_surrogate_dt_depth5_val_accuracy,small_surrogate_dt_depth5_fidelity_accuracy,delta_surrogate_dt_vs_flashnet_train,delta_surrogate_dt_vs_flashnet_val,delta_surrogate_dt_vs_flashnet_fidelity,delta_small_surrogate_dt_vs_flashnet_train,delta_small_surrogate_dt_vs_flashnet_val,delta_small_surrogate_dt_vs_flashnet_fidelity,delta_small_surrogate_dt_depth5_vs_flashnet_train,delta_small_surrogate_dt_depth5_vs_flashnet_val,delta_small_surrogate_dt_depth5_vs_flashnet_fidelity,flashnet_log_path,surrogate_dt_metrics_path,small_surrogate_dt_metrics_path,small_surrogate_dt_depth5_metrics_path,status
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme0n1...nvme2n1,0,0.7718,0.7722,1.0,,,,0.759636,0.759654,0.908907,0.74994,0.750078,0.883271,,,,-0.012164,-0.012546,-0.091093,-0.02186,-0.022122,-0.116729,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_0_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_0_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme0n1...nvme2n1,1,0.8707,0.8716,1.0,,,,0.868227,0.868326,0.977693,0.863935,0.864203,0.966967,,,,-0.002473,-0.003274,-0.022307,-0.006765,-0.007397,-0.033033,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_1_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_1_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme14n1...nvme15n1,0,0.8268,0.8261,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00,nvme14n1...nvme15n1,1,0.8979,0.8935,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/alibaba.per_3mins.iops_p100.alibaba_9086.35/original...modified.rerate_4.00.resize_4.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,0,0.7855,0.7838,1.0,,,,0.779764,0.780462,0.90436,0.770783,0.772805,0.88069,,,,-0.005736,-0.003338,-0.09564,-0.014717,-0.010995,-0.11931,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_0_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_0_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme0n1...nvme2n1,1,0.8677,0.8628,1.0,,,,0.86072,0.859993,0.957881,0.852352,0.852513,0.938276,,,,-0.00698,-0.002807,-0.042119,-0.015348,-0.010287,-0.061724,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_1_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_1_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,0,0.8122,0.8105,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive0results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00,nvme14n1...nvme15n1,1,0.8814,0.8827,1.0,,,,,,,,,,,,,,,,,,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p10.alibaba_50.97/msr.per_3mins.overall_p100.src1_0.2108/original...modified.rw_ratio_40_60.rerate_8.00.resize_2.00/nvme14n1...nvme15n1/flashnet/training_results/mldrive1results.txt,,,,missing:surrogate_dt|small_surrogate_dt|small_surrogate_dt_depth5
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme0n1...nvme2n1,0,0.7943,0.8009,1.0,,,,0.787323,0.786852,0.914215,0.764826,0.764343,0.869778,,,,-0.006977,-0.014048,-0.085785,-0.029474,-0.036557,-0.130222,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive0results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_0_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_0_metrics.json,missing:surrogate_dt
/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00,nvme0n1...nvme2n1,1,0.8586,0.8608,1.0,,,,0.860248,0.859881,0.95367,0.855057,0.855064,0.942547,,,,0.001648,-0.000919,-0.04633,-0.003543,-0.005736,-0.057453,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/flashnet/training_results/mldrive1results.txt,,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt/training_results/small_surrogate_dev_1_metrics.json,/mnt/heimdall-exp/Heimdall/integration/client-level/data/alibaba.per_3mins.iops_p75.alibaba_9086.23/alibaba.per_3mins.offset_p100.alibaba_9086.3/modified.rerate_0.50...modified.rerate_2.00.resize_2.00/nvme0n1...nvme2n1/small_surrogate_dt_depth5/training_results/small_surrogate_dev_1_metrics.json,missing:surrogate_dt
